user_id,trade_direction,shares,option_yes_no,option_type,price,total_trade_amount,timestamp
tyjty7i6,BUY,2572.19875,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,2561.909955,"Friday, February 27, 2026 21:22:03 EST"
CosmicPilot4214,SELL,135.98,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,132.30854,"Friday, February 27, 2026 21:21:57 EST"
911yur77,BUY,7.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,6.818,"Friday, February 27, 2026 21:21:55 EST"
Png19982026,SELL,5.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,4.865,"Friday, February 27, 2026 21:20:53 EST"
0xF4569d87e55b1Ffe82062d693BbA92fC76799CeC-1763604837365,BUY,1509.1265,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,1503.0899940000002,"Friday, February 27, 2026 21:20:07 EST"
sdafdf,BUY,829.2505,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,807.689987,"Friday, February 27, 2026 21:19:59 EST"
okxxxxx2222,SELL,474.0,No,Will there be no change in Fed interest rates after the March 2026 meeting?,0.026,12.324,"Friday, February 27, 2026 21:19:25 EST"
SSSLLLL,BUY,50.20075,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,49.999947,"Friday, February 27, 2026 21:18:47 EST"
uilla,BUY,10.0,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.982,9.82,"Friday, February 27, 2026 21:18:35 EST"
b4nwz0g1,SELL,42.31,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,41.16763,"Friday, February 27, 2026 21:18:03 EST"
2kk6e1cv,SELL,41.49,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,40.36977,"Friday, February 27, 2026 21:17:57 EST"
Juanau,SELL,2236.31,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.996,2227.36476,"Friday, February 27, 2026 21:17:53 EST"
1e32ewf,BUY,1299.026,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,1293.829896,"Friday, February 27, 2026 21:17:39 EST"
vastSilk941,BUY,20.7,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,20.1618,"Friday, February 27, 2026 21:17:33 EST"
2kk6e1cv,BUY,41.49,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,40.41126,"Friday, February 27, 2026 21:17:33 EST"
Oolancer,BUY,90.526314,Yes,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.018999989329069558,1.719999,"Friday, February 27, 2026 21:17:29 EST"
b4nwz0g1,BUY,42.31,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,41.20994,"Friday, February 27, 2026 21:17:29 EST"
nmkjioiu,BUY,7.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,6.818,"Friday, February 27, 2026 21:17:15 EST"
W14hirl,SELL,1.27,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.981,1.24587,"Friday, February 27, 2026 21:16:43 EST"
kvdxr28d,SELL,34.19,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,33.26687,"Friday, February 27, 2026 21:16:25 EST"
W14hirl,BUY,1.272888,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.9819999874301588,1.249976,"Friday, February 27, 2026 21:16:23 EST"
sdafdf,SELL,830.11,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,807.69703,"Friday, February 27, 2026 21:16:17 EST"
kvdxr28d,BUY,34.19,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,33.30106,"Friday, February 27, 2026 21:15:57 EST"
0x9a9942355824570486a5cf20d9270708d1F0f0F1-1770001349892,BUY,50.20075,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,49.999947,"Friday, February 27, 2026 21:15:41 EST"
2Delta,SELL,1.32,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.996,1.31472,"Friday, February 27, 2026 21:13:13 EST"
SuperChampion131,SELL,131.33,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,127.78409,"Friday, February 27, 2026 21:13:09 EST"
0x11E00cB5f9cD27ebdd9b730394B8E0C6d4506E92-1772105942794,BUY,5.133461,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.9739999972727951,4.999991,"Friday, February 27, 2026 21:12:59 EST"
2Delta,BUY,1.323666,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.9969999984890449,1.319695,"Friday, February 27, 2026 21:12:55 EST"
sdafdf,BUY,830.102653,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.9739999999734973,808.519984,"Friday, February 27, 2026 21:12:17 EST"
dgtrrj,BUY,1927.9215,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,1920.2098139999998,"Friday, February 27, 2026 21:12:07 EST"
252jruyry,BUY,6.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,5.843999999999999,"Friday, February 27, 2026 21:11:27 EST"
dgtrrj,SELL,956.7,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.996,952.8732,"Friday, February 27, 2026 21:10:55 EST"
sdafdf,SELL,574.94,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,559.4166200000001,"Friday, February 27, 2026 21:10:35 EST"
ortizandrea,SELL,168.22,Yes,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.018,3.0279599999999998,"Friday, February 27, 2026 21:10:13 EST"
vwvrew,BUY,130.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,126.61999999999999,"Friday, February 27, 2026 21:08:41 EST"
gukghkhi,BUY,6.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,5.843999999999999,"Friday, February 27, 2026 21:08:41 EST"
vwvrew,BUY,130.0,No,Will there be no change in Fed interest rates after the March 2026 meeting?,0.027,3.51,"Friday, February 27, 2026 21:08:41 EST"
ychurch,BUY,250.0,Yes,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.005,1.25,"Friday, February 27, 2026 21:08:33 EST"
ollllllp0,SELL,150.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,145.95,"Friday, February 27, 2026 21:08:21 EST"
fgnr3tb,BUY,983.33325,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,979.3999170000001,"Friday, February 27, 2026 21:07:51 EST"
n6m09q8s,BUY,1.34,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,1.30516,"Friday, February 27, 2026 21:07:31 EST"
ufjhdt,SELL,15190.57,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.996,15129.807719999999,"Friday, February 27, 2026 21:06:35 EST"
flickerIng-oBlIviON59,SELL,1.43,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.981,1.40283,"Friday, February 27, 2026 21:06:31 EST"
flickerIng-oBlIviON59,BUY,1.435833,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.9819999958212411,1.409988,"Friday, February 27, 2026 21:06:13 EST"
ufjhdt,BUY,15190.571666,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.9969999999998683,15144.999951,"Friday, February 27, 2026 21:06:11 EST"
S55,SELL,700.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,681.1,"Friday, February 27, 2026 21:06:07 EST"
maxmiller,BUY,370.370369,No,Will there be no change in Fed interest rates after the March 2026 meeting?,0.02699999739989999,9.999998999999999,"Friday, February 27, 2026 21:05:55 EST"
sdafdf,BUY,574.948653,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.9739999999617357,559.999988,"Friday, February 27, 2026 21:05:25 EST"
cpl0,BUY,13.62,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,13.26588,"Friday, February 27, 2026 21:02:47 EST"
nh6q3eta,SELL,40.61,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,39.513529999999996,"Friday, February 27, 2026 21:02:37 EST"
Cyclone-Dusk-Daze,SELL,1.41,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.995,1.40295,"Friday, February 27, 2026 21:02:19 EST"
brrbsd1,BUY,50.0,No,Will there be no change in Fed interest rates after the March 2026 meeting?,0.027,1.35,"Friday, February 27, 2026 21:02:11 EST"
brrbsd1,BUY,50.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,48.699999999999996,"Friday, February 27, 2026 21:02:11 EST"
nh6q3eta,BUY,40.62,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,39.56388,"Friday, February 27, 2026 21:02:11 EST"
Cyclone-Dusk-Daze,BUY,1.4155,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,1.409838,"Friday, February 27, 2026 21:01:59 EST"
0x41863fbd333854b2ae2C36F507DDfB6C1e54555E-1771426930441,BUY,250.0,Yes,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.004,1.0,"Friday, February 27, 2026 21:00:43 EST"
SuperPhoenix2621,SELL,134.58,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.981,132.02298000000002,"Friday, February 27, 2026 20:59:39 EST"
9wlw9ub1,SELL,49.69,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,48.348369999999996,"Friday, February 27, 2026 20:59:05 EST"
fgnhfrj5j,BUY,214.23675,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.996,213.379803,"Friday, February 27, 2026 20:58:49 EST"
9wlw9ub1,BUY,49.69,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,48.398059999999994,"Friday, February 27, 2026 20:58:41 EST"
xwefcervc,BUY,140.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,136.35999999999999,"Friday, February 27, 2026 20:58:37 EST"
vrewvre1,BUY,100.0,No,Will there be no change in Fed interest rates after the March 2026 meeting?,0.027,2.7,"Friday, February 27, 2026 20:58:37 EST"
zazisa,BUY,15.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,14.61,"Friday, February 27, 2026 20:58:37 EST"
vrewvre1,BUY,100.0,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.974,97.39999999999999,"Friday, February 27, 2026 20:58:35 EST"
xwefcervc,BUY,140.0,No,Will there be no change in Fed interest rates after the March 2026 meeting?,0.027,3.78,"Friday, February 27, 2026 20:58:35 EST"
0xd9f438174f5cC86eBD3F514940aCdc1ce4030817-1771881055287,SELL,74.07,Yes,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.018,1.3332599999999997,"Friday, February 27, 2026 20:58:33 EST"
UltraTiger3990,SELL,133.24,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.996,132.70704,"Friday, February 27, 2026 20:56:59 EST"
njuyuy,SELL,1318.28,No,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,0.995,1311.6886,"Friday, February 27, 2026 20:56:19 EST"
CosmicExplorer400,SELL,124.5,No,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,0.981,122.1345,"Friday, February 27, 2026 20:55:05 EST"
nfnyu56y,SELL,847.92,No,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,0.996,844.52832,"Friday, February 27, 2026 20:54:29 EST"
xie1111,SELL,6.23,Yes,Will there be no change in Fed interest rates after the March 2026 meeting?,0.973,6.06179,"Friday, February 27, 2026 20:53:25 EST"
